"","x"
"1054",5
"1055",6
"1056",18
"1057",2
"1058",7
"1059",5
"1060",6
"1061",17
"1062",1
"1063",19
"1064",5
"1065",5
"1066",1
"1067",17
"1068",20
"1069",6
"1070",10
"1071",17
"1072",5
"1073",5
"1074",1
"1075",11
"1076",5
"1077",13
"1078",5
"1079",19
"1080",8
"1081",5
"1082",5
"1083",1
"1084",5
"1085",1
"1086",1
"1087",5
"1088",12
"1089",5
"1090",1
"1091",5
"1092",2
"1093",17
"1094",5
"1095",5
"1096",1
"1097",1
"1098",9
"1099",5
"1100",19
"1101",8
"1102",1
"1103",18
"1104",17
"1105",6
"1106",20
"1107",1
"1108",19
"1109",13
"1110",17
"1111",2
"1112",5
"1113",4
"1114",5
"1115",1
"1116",6
"1117",7
"1118",5
"1119",5
"1120",16
"1121",9
"1122",17
"1123",7
"1124",20
"1125",19
"1126",19
"1127",17
"1128",6
"1129",3
"1130",5
"1131",15
"1132",2
"1133",5
"1134",5
"1135",18
"1136",5
"1137",3
"1138",5
"1139",10
"1140",5
"1141",1
"1142",15
"1143",5
"1144",17
"1145",1
"1146",17
"1147",15
"1148",5
"1149",20
"1150",7
"1151",5
"1152",1
"1153",20
"1154",1
"1155",18
"1156",1
"1157",6
"1158",19
"1159",17
"1160",17
"1161",19
"1162",9
"1163",14
"1164",20
"1165",17
"1166",18
"1167",5
"1168",1
"1169",1
"1170",2
"1171",4
"1172",5
"1173",18
"1174",19
"1175",19
"1176",15
"1177",5
"1178",20
"1179",5
"1180",5
"1181",17
"1182",3
"1183",11
"1184",1
"1185",3
"1186",3
"1187",6
"1188",17
"1189",19
"1190",17
"1191",1
"1192",17
"1193",13
"1194",5
"1195",19
"1196",6
"1197",17
"1198",1
"1199",1
"1200",14
"1201",5
"1202",6
"1203",5
"1204",6
"1205",18
"1206",18
"1207",1
"1208",7
"1209",2
"1210",1
"1211",9
"1212",1
"1213",6
"1214",15
"1215",19
"1216",5
"1217",9
"1218",1
"1219",1
"1220",1
"1221",5
"1222",1
"1223",3
"1224",17
"1225",1
"1226",1
"1227",1
"1228",7
"1229",20
"1230",4
"1231",4
"1232",13
"1233",9
"1234",5
"1235",8
"1236",13
"1237",11
"1238",5
"1239",5
"1240",9
"1241",7
"1242",5
"1243",17
"1244",4
"1245",16
"1246",17
"1247",7
"1248",15
"1249",2
"1250",2
"1251",2
"1252",17
"1253",19
"1254",13
"1255",1
"1256",17
"1257",19
"1258",17
"1259",4
"1260",20
"1261",17
"1262",14
"1263",4
"1264",8
"1265",6
"1266",18
"1267",17
"1268",17
"1269",17
"1270",5
"1271",18
"1272",1
"1273",17
"1274",2
"1275",9
"1276",19
"1277",17
"1278",1
"1279",5
"1280",5
"1281",5
"1282",1
"1283",18
"1284",7
"1285",5
"1286",3
"1287",2
"1288",5
"1289",20
"1290",5
"1291",1
"1292",5
"1293",17
"1294",11
"1295",17
"1296",2
"1297",15
"1298",1
"1299",19
"1300",2
"1301",1
"1302",15
"1303",1
"1304",5
"1305",7
"1306",3
"1307",17
"1308",17
"1309",6
"1310",1
"1311",17
"1312",19
"1313",14
"1314",18
"1315",6
"1316",19
"1317",10
"1318",5
"1319",17
"1320",1
"1321",1
"1322",10
"1323",5
"1324",20
"1325",1
"1326",17
"1327",5
"1328",19
"1329",17
"1330",5
"1331",2
"1332",13
"1333",1
"1334",17
"1335",18
"1336",7
"1337",1
"1338",2
"1339",1
"1340",1
"1341",1
"1342",5
"1343",5
"1344",1
"1345",19
"1346",1
"1347",5
"1348",11
"1349",14
"1350",2
"1351",1
"1352",18
"1353",19
"1354",19
"1355",6
"1356",1
"1357",19
"1358",5
"1359",3
