,X1,cause,effect,doc_ind,sentence_ind
656,715,Xlevellow,Xlevelinc,192,1
657,716,Xlevellow,Xmaint,192,1
658,717,Xlevellow,Xmaint,192,1
659,718,Xlevelinc,Xmaint,192,1
660,719,Xother,Xcontrol,193,1
661,720,Xmaint,Xmaint,194,1
662,721,Xother,Xmaint,194,1
663,722,Xother,Xmaint,194,1
664,725,Xbuch,Xalarm,194,1
665,726,Xbuch,Xmaint,194,1
666,728,Xleak,Xmaint,195,1
667,729,Xlevellow,Xleak,195,1
668,730,Xlevellow,Xmaint,195,1
669,731,Xlevelinc,Xleak,195,1
670,732,Xlevelinc,Xmaint,195,1
671,734,Xleak,Xmaint,195,1
672,736,Xlevellow,Xmaint,196,1
673,737,Xlevellow,Xmaint,196,1
674,738,Xlevelinc,Xlevellow,196,1
675,739,Xlevelinc,Xmaint,196,1
676,740,Xlevelinc,Xmaint,196,1
677,741,Xlevellow,Xmaint,197,1
678,742,Xlevelinc,Xmaint,197,1
679,743,Xlevellow,Xmaint,198,1
680,744,Xlevelinc,Xmaint,198,1
681,745,Xlevellow,Xmaint,199,1
682,746,Xlevelinc,Xmaint,199,1
683,747,Xseal,Xbreather,200,1
684,748,Xbreather,Xbreather,200,1
685,749,Xseal,Xtransformer,201,1
686,750,Xbreather,Xtransformer,201,1
687,751,Xseal,Xtransformer,202,1
688,752,Xbreather,Xtransformer,202,1
689,753,Xother,Xtransformer,203,1
690,754,Xbreather,Xtransformer,203,1
691,756,Xlevellow,Xlevelinc,204,1
692,757,Xlevellow,Xmaint,204,1
693,758,Xlevellow,Xmaint,204,1
694,759,Xlevelinc,Xmaint,204,1
695,760,Xlevellow,Xmaint,205,1
696,761,Xlevelinc,Xmaint,205,1
697,762,Xseal,Xtransformer,206,1
698,763,Xbreather,Xtransformer,206,1
699,764,Xlevellow,Xmaint,207,1
700,765,Xlevelinc,Xmaint,207,1
701,766,Xother,Xtransformer,208,1
702,767,Xind,Xtransformer,208,1
703,768,Xind,Xtransformer,208,1
704,769,Xlevellow,Xtransformer,209,1
705,770,Xlevellow,Xtransformer,209,1
